PLAYER_ID,TEAM_ID,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,HEIGHT,WEIGHT,PLAYER_NAME
1630173,1288490207.0,23.4,55.2,15.2,1222.8,186.2,389.0,0.48179999999999995,27.4,91.6,0.2866,60.6,95.8,0.6254000000000001,125.6,229.4,355.0,65.2,32.0,41.4,61.8,107.8,460.4,80,243,Precious Achiuwa
1628389,1610612748.0,25.0,67.33333333333333,67.33333333333333,2279.6666666666665,512.6666666666666,953.3333333333334,0.5393333333333333,5.333333333333333,20.0,0.14666666666666667,290.6666666666667,376.3333333333333,0.7713333333333333,160.0,503.0,663.0,236.0,83.0,57.0,165.66666666666666,179.33333333333334,1321.3333333333333,81,255,Bam Adebayo
1630534,1207959571.25,23.75,53.75,19.5,1123.0,130.25,313.0,0.41375,51.25,162.5,0.29924999999999996,32.5,45.25,0.7085,47.75,90.5,138.25,58.25,27.5,25.75,42.25,83.25,344.25,77,215,Ochai Agbaji
1630583,1610612763.0,22.0,56.666666666666664,18.333333333333332,1220.0,182.33333333333334,408.3333333333333,0.43566666666666665,68.66666666666667,206.0,0.27566666666666667,60.666666666666664,87.66666666666667,0.6653333333333333,63.333333333333336,206.66666666666666,270.0,85.33333333333333,31.333333333333332,37.333333333333336,48.333333333333336,89.33333333333333,494.0,84,215,Santi Aldama
1629638,1150437680.5714285,23.714285714285715,47.142857142857146,9.714285714285714,945.8571428571429,143.42857142857142,355.42857142857144,0.40499999999999997,66.14285714285714,189.85714285714286,0.35185714285714287,42.0,57.57142857142857,0.737142857142857,19.857142857142858,86.28571428571429,106.14285714285714,104.57142857142857,31.428571428571427,18.571428571428573,53.142857142857146,75.0,395.0,77,205,Nickeil Alexander-Walker
1628960,1610612751.3333333,27.0,71.0,68.33333333333333,2096.6666666666665,280.0,602.6666666666666,0.4623333333333333,170.0,400.0,0.42300000000000004,102.33333333333333,115.66666666666667,0.8826666666666667,47.0,204.33333333333334,251.33333333333334,163.33333333333334,59.0,25.666666666666668,70.0,123.33333333333333,832.3333333333334,76,198,Grayson Allen
1628386,1610612739.0,25.0,67.0,67.0,2157.3333333333335,430.3333333333333,663.3333333333334,0.6516666666666667,0.6666666666666666,8.666666666666666,0.06666666666666667,186.66666666666666,256.0,0.7276666666666666,218.66666666666666,474.3333333333333,693.0,138.33333333333334,50.333333333333336,80.0,102.66666666666667,132.33333333333334,1048.0,81,243,Jarrett Allen
1641851,1610612763.0,24.0,5.0,0.0,125.0,6.0,23.0,0.261,0.0,7.0,0.0,1.0,2.0,0.5,4.0,13.0,17.0,5.0,4.0,0.0,2.0,18.0,13.0,78,210,Timmy Allen
1630631,1610612740.0,25.0,57.0,3.6666666666666665,1057.3333333333333,158.0,376.0,0.423,64.33333333333333,188.0,0.33466666666666667,45.333333333333336,61.666666666666664,0.7216666666666667,26.0,97.0,123.0,151.66666666666666,65.66666666666667,10.666666666666666,53.666666666666664,95.66666666666667,425.6666666666667,72,179,Jose Alvarado
203937,1610612754.3333333,29.0,72.33333333333333,22.333333333333332,1741.0,220.0,465.6666666666667,0.4716666666666667,30.0,87.33333333333333,0.323,88.0,126.0,0.6936666666666667,65.0,271.3333333333333,336.3333333333333,283.0,75.33333333333333,51.666666666666664,88.33333333333333,127.33333333333333,558.0,81,230,Kyle Anderson
